dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.617186,10.793735,0.000230,0.022988,1.149384,57.469213,0.000298
0.020000,5.617212,10.793735,0.000256,0.001293,-1.084759,-111.707147,0.000275
0.020000,5.617270,10.793735,0.000314,0.002904,0.080562,58.266056,0.000224
0.020000,5.617373,10.793735,0.000417,0.005147,0.112174,1.580561,0.000132
0.020000,5.617940,10.793735,0.000984,0.028342,1.159759,52.379276,6.283175
0.020000,5.626444,10.793734,0.009488,0.425210,19.843401,934.182084,6.282972
0.020000,5.638016,10.793730,0.021060,0.578613,7.670148,-608.662618,6.282698
0.020000,5.653126,10.793720,0.036170,0.755473,8.842990,58.642084,6.282345
0.020000,5.672240,10.793700,0.055283,0.955689,10.010771,58.389032,6.281906
0.020000,5.695588,10.793664,0.078631,1.167401,10.585613,28.742128,6.281381
0.020000,5.723161,10.793605,0.106205,1.378696,10.564745,-1.043419,6.280778
0.020000,5.754952,10.793518,0.137996,1.589542,10.542311,-1.121684,6.280105
0.020000,5.790948,10.793394,0.173992,1.799819,10.513860,-1.422550,6.279371
0.020000,5.831138,10.793225,0.214183,2.009517,10.484900,-1.448021,6.278588
0.020000,5.875508,10.793003,0.258553,2.218510,10.449635,-1.763253,6.277767
0.020000,5.924043,10.792719,0.307089,2.426795,10.414261,-1.768709,6.276921
0.020000,5.976727,10.792366,0.359774,2.634266,10.373537,-2.036183,6.276065
0.020000,6.033543,10.791937,0.416592,2.840874,10.330397,-2.157004,6.275214
0.020000,6.094472,10.791425,0.477523,3.046550,10.283822,-2.328755,6.274385
0.020000,6.159494,10.790827,0.542547,3.251229,10.233955,-2.493322,6.273595
0.020000,6.228588,10.790138,0.611645,3.454870,10.182037,-2.595907,6.272862
0.020000,6.301731,10.789359,0.684792,3.657389,10.125925,-2.805602,6.272208
0.020000,6.378901,10.788489,0.761967,3.858734,10.067291,-2.931732,6.271652
0.020000,6.460072,10.787534,0.843144,4.058829,10.004724,-3.128325,6.271216
0.020000,6.545218,10.786501,0.928296,4.257618,9.939452,-3.263583,6.270925
0.020000,6.634312,10.785402,1.017396,4.455020,9.870107,-3.467287,6.270802
0.020000,6.727324,10.784252,1.110416,4.650962,9.797073,-3.651679,6.270874
0.020000,6.824224,10.783071,1.207323,4.845360,9.719945,-3.856427,6.271168
0.020000,6.924980,10.781886,1.308086,5.038128,9.638400,-4.077220,6.271713
0.020000,7.029556,10.780727,1.412669,5.229164,9.551788,-4.330587,6.272540
0.020000,7.137918,10.779633,1.521036,5.418359,9.459748,-4.602012,6.273681
0.020000,7.250025,10.778648,1.633148,5.605587,9.361376,-4.918604,6.275172
0.020000,7.365837,10.777825,1.748962,5.790730,9.257154,-5.211121,6.277050
0.020000,7.485308,10.777226,1.868434,5.973605,9.143750,-5.670169,6.279355
0.020000,7.608388,10.776921,1.991516,6.154055,9.022523,-6.061375,6.282129
0.020000,7.735026,10.776991,2.118153,6.331883,8.891390,-6.556614,0.002235
0.020000,7.865162,10.777528,2.248290,6.506853,8.748501,-7.144493,0.006093
0.020000,7.998732,10.778635,2.381864,6.678706,8.592654,-7.792338,0.010575
0.020000,8.135663,10.780430,2.518808,6.847164,8.422912,-8.487077,0.015739
0.020000,8.275876,10.783044,2.659045,7.011855,8.234519,-9.419681,0.021654
0.020000,8.419279,10.786625,2.802493,7.172413,8.027904,-10.330746,0.028392
0.020000,8.565771,10.791336,2.949061,7.328387,7.798686,-11.460881,0.036036
0.020000,8.715236,10.797360,3.098646,7.479277,7.544544,-12.707109,0.044675
0.020000,8.867538,10.804899,3.251135,7.624449,7.258574,-14.298497,0.054411
0.020000,9.022526,10.814178,3.406401,7.763290,6.942066,-15.825419,0.065356
0.020000,9.180024,10.825441,3.564301,7.894977,6.584324,-17.887103,0.077638
0.020000,9.339827,10.838962,3.724675,8.018716,6.186970,-19.867665,0.091399
0.020000,9.501700,10.855035,3.887344,8.133442,5.736294,-22.533830,0.106797
0.020000,9.665369,10.873984,4.052106,8.238122,5.234000,-25.114663,0.124012
0.020000,9.830519,10.896158,4.218738,8.331572,4.672478,-28.076122,0.143243
0.020000,9.996584,10.921899,4.386786,8.402414,3.542120,-56.517923,0.164688
0.020000,10.162766,10.951523,4.555588,8.440096,1.884081,-82.901926,0.188527
0.020000,10.328240,10.985326,4.724479,8.444569,0.223656,-83.021235,0.214943
0.020000,10.492157,11.023582,4.892802,8.416131,-1.421889,-82.277243,0.244111
0.020000,10.653659,11.066523,5.059915,8.355663,-3.023388,-80.074992,0.276191
0.020000,10.811888,11.114338,5.225211,8.264774,-4.544456,-76.053388,0.311317
0.020000,10.966011,11.167151,5.388131,8.146044,-5.936479,-69.601165,0.349573
0.020000,11.115245,11.225025,5.548194,8.003142,-7.145100,-60.431048,0.390982
0.020000,11.258828,11.287924,5.704950,7.837775,-8.268392,-56.164606,0.435456
0.020000,11.396119,11.355740,5.858076,7.656314,-9.073026,-40.231652,0.482795
0.020000,11.526680,11.428332,6.007461,7.469249,-9.353235,-14.010476,0.532691
0.020000,11.650228,11.505522,6.153141,7.283975,-9.263724,4.475555,0.584703
0.020000,11.766636,11.587103,6.295289,7.107446,-8.826461,21.863146,0.638267
0.020000,11.875914,11.672854,6.434195,6.945268,-8.108884,35.878856,0.692720
0.020000,11.978175,11.762536,6.570210,6.800769,-7.224937,44.197365,0.747339
0.020000,12.073603,11.855881,6.703701,6.674546,-6.311145,45.689602,0.801391
0.020000,12.162412,11.952569,6.834986,6.564258,-5.514416,39.836416,0.854185
0.020000,12.244858,12.052256,6.964349,6.468139,-4.805941,35.423760,0.905137
0.020000,12.321275,12.154645,7.092111,6.388093,-4.002321,40.181024,0.953836
0.020000,12.392014,12.259457,7.218561,6.322503,-3.279477,36.142174,1.000024
0.020000,12.457386,12.366365,7.343872,6.265533,-2.848499,21.548909,1.043546
