dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.617522,9.668735,0.000230,0.022988,1.149384,57.469213,0.000298
0.020000,5.617522,9.668735,0.001149,0.068963,2.298769,57.469213,0.000275
0.020000,5.617522,9.668735,0.003218,0.137926,3.448153,57.469213,0.000224
0.020000,5.617522,9.668735,0.006896,0.229877,4.597537,57.469213,0.000132
0.020000,5.617929,9.668735,0.012643,0.344815,5.746921,57.469213,6.283175
0.020000,5.626204,9.668734,0.020919,0.482741,6.896306,57.469213,6.282972
0.020000,5.637468,9.668730,0.032183,0.643655,8.045690,57.469213,6.282698
0.020000,5.652180,9.668720,0.046895,0.827557,9.195074,57.469213,6.282345
0.020000,5.670800,9.668701,0.065515,1.034446,10.344458,57.469213,6.281906
0.020000,5.693558,9.668665,0.088273,1.241335,10.344458,0.000000,6.281381
0.020000,5.720453,9.668609,0.115168,1.448224,10.344458,0.000000,6.280778
0.020000,5.751487,9.668524,0.146202,1.655113,10.344458,-0.000000,6.280105
0.020000,5.786658,9.668402,0.181373,1.862003,10.344458,-0.000000,6.279371
0.020000,5.825966,9.668237,0.220682,2.068892,10.344458,0.000000,6.278588
0.020000,5.869412,9.668019,0.264129,2.275781,10.344458,0.000000,6.277767
0.020000,5.916996,9.667741,0.311713,2.482670,10.344458,-0.000000,6.276921
0.020000,5.968717,9.667394,0.363435,2.689559,10.344458,0.000000,6.276065
0.020000,6.024576,9.666973,0.419295,2.896448,10.344458,0.000000,6.275214
0.020000,6.084572,9.666469,0.479293,3.103338,10.344458,-0.000000,6.274385
0.020000,6.148705,9.665879,0.543429,3.310227,10.344458,0.000000,6.273595
0.020000,6.216975,9.665198,0.611702,3.517116,10.344458,0.000000,6.272862
0.020000,6.289382,9.664426,0.684114,3.724005,10.344458,-0.000000,6.272208
0.020000,6.365926,9.663564,0.760663,3.930894,10.344458,0.000000,6.271652
0.020000,6.446607,9.662615,0.841349,4.137783,10.344458,-0.000000,6.271216
0.020000,6.531425,9.661586,0.926174,4.344673,10.344458,0.000000,6.270925
0.020000,6.620381,9.660488,1.015136,4.551562,10.344458,0.000000,6.270802
0.020000,6.713474,9.659337,1.108236,4.758451,10.344458,0.000000,6.270874
0.020000,6.810705,9.658153,1.205474,4.965340,10.344458,-0.000000,6.271168
0.020000,6.912074,9.656960,1.306850,5.172229,10.344458,0.000000,6.271713
0.020000,7.017581,9.655791,1.412363,5.379118,10.344458,0.000000,6.272540
0.020000,7.127226,9.654684,1.522015,5.586008,10.344458,0.000000,6.273681
0.020000,7.241011,9.653684,1.635804,5.792897,10.344458,0.000000,6.275172
0.020000,7.358935,9.652846,1.753731,5.999786,10.344458,-0.000000,6.277050
0.020000,7.480998,9.652234,1.875795,6.206675,10.344458,0.000000,6.279355
0.020000,7.607200,9.651922,2.001998,6.413564,10.344458,0.000000,6.282129
0.020000,7.737540,9.651994,2.132338,6.620453,10.344458,0.000000,0.002235
0.020000,7.872017,9.652549,2.266816,6.827343,10.344458,0.000000,0.006093
0.020000,8.010628,9.653698,2.405431,7.034232,10.344458,0.000000,0.010575
0.020000,8.153369,9.655569,2.548185,7.241121,10.344458,-0.000000,0.015739
0.020000,8.300235,9.658308,2.695076,7.448010,10.344458,0.000000,0.021654
0.020000,8.451216,9.662078,2.846105,7.654899,10.344458,0.000000,0.028392
0.020000,8.606303,9.667066,3.001272,7.861788,10.344458,0.000000,0.036036
0.020000,8.765478,9.673482,3.160577,8.068678,10.344458,-0.000000,0.044675
0.020000,8.928720,9.681564,3.324019,8.275567,10.344458,-0.000000,0.054411
0.020000,9.096000,9.691579,3.491600,8.482456,10.344458,0.000000,0.065356
0.020000,9.267279,9.703830,3.663318,8.689345,10.344458,0.000000,0.077638
0.020000,9.442507,9.718658,3.839173,8.896234,10.344458,-0.000000,0.091399
0.020000,9.621618,9.736445,4.019167,9.103123,10.344458,0.000000,0.106797
0.020000,9.804525,9.757624,4.203298,9.310013,10.344458,-0.000000,0.124012
0.020000,9.991117,9.782680,4.391567,9.516902,10.344458,0.000000,0.143243
0.020000,10.181021,9.812121,4.583744,9.700803,9.195074,-57.469213,0.164688
0.020000,10.373605,9.846456,4.779370,9.861717,8.045690,-57.469213,0.188527
0.020000,10.568193,9.886214,4.977983,9.999643,6.896306,-57.469213,0.214943
0.020000,10.764063,9.931935,5.179125,10.114581,5.746921,-57.469213,0.244111
0.020000,10.960439,9.984160,5.382337,10.206532,4.597537,-57.469213,0.276191
0.020000,11.156490,10.043415,5.587157,10.275495,3.448153,-57.469213,0.311317
0.020000,11.351320,10.110192,5.793127,10.321471,2.298769,-57.469213,0.349573
0.020000,11.543979,10.184923,5.999786,10.344458,1.149384,-57.469213,0.390982
0.020000,11.733380,10.267911,6.206588,10.335732,-0.436327,-79.285563,0.435456
0.020000,11.918407,10.359326,6.412985,10.304018,-1.585711,-57.469213,0.482795
0.020000,12.098015,10.459208,6.618519,10.249316,-2.735096,-57.469213,0.532691
0.020000,12.271174,10.567411,6.822728,10.171626,-3.884480,-57.469213,0.584703
0.020000,12.436916,10.683582,7.025154,10.070949,-5.033864,-57.469213,0.638267
0.020000,12.594375,10.807153,7.225336,9.947284,-6.183248,-57.469213,0.692720
0.020000,12.742825,10.937348,7.422815,9.800631,-7.332633,-57.469213,0.747339
0.020000,12.881718,11.073209,7.617131,9.630991,-8.482017,-57.469213,0.801391
0.020000,13.010703,11.213632,7.807825,9.438363,-9.631401,-57.469213,0.854185
0.020000,13.129681,11.357481,7.994523,9.231474,-10.344458,-35.652863,0.905137
0.020000,13.238871,11.503767,8.177084,9.024584,-10.344458,0.000000,0.953836
0.020000,13.338683,11.651640,8.355507,8.817695,-10.344458,0.000000,1.000024
0.020000,13.429604,11.800312,8.529792,8.610806,-10.344458,-0.000000,1.043546
0.020000,13.512171,11.949069,8.699939,8.403917,-10.344458,0.000000,1.084344
0.020000,13.586944,12.097274,8.865948,8.197028,-10.344458,-0.000000,1.122429
0.020000,13.654495,12.244368,9.027820,7.990139,-10.344458,0.000000,1.157869
0.020000,13.715384,12.389867,9.185554,7.783249,-10.344458,0.000000,1.190772
0.020000,13.770158,12.533358,9.339150,7.576360,-10.344458,-0.000000,1.221272
0.020000,13.819334,12.674490,9.488608,7.369471,-10.344458,0.000000,1.249514
0.020000,13.863402,12.812963,9.633929,7.162582,-10.344458,0.000000,1.275651
0.020000,13.902818,12.948527,9.775112,6.955693,-10.344458,0.000000,1.299835
0.020000,13.938007,13.080974,9.912157,6.748804,-10.344458,0.000000,1.322213
0.020000,13.969360,13.210129,10.045064,6.541914,-10.344458,0.000000,1.342924
0.020000,13.997237,13.335843,10.173833,6.335025,-10.344458,0.000000,1.362098
0.020000,14.021967,13.457993,10.298465,6.128136,-10.344458,-0.000000,1.379858
0.020000,14.043853,13.576483,10.418959,5.921247,-10.344458,0.000000,1.396316
0.020000,14.063171,13.691220,10.535315,5.714358,-10.344458,0.000000,1.411571
0.020000,14.080174,13.802145,10.647533,5.507469,-10.344458,0.000000,1.425720
0.020000,14.095093,13.909189,10.755613,5.300579,-10.344458,0.000000,1.438844
0.020000,14.108137,14.012307,10.859556,5.093690,-10.344458,0.000000,1.451021
0.020000,14.119499,14.111463,10.959361,4.886801,-10.344458,0.000000,1.462321
0.020000,14.129355,14.206620,11.055028,4.679912,-10.344458,-0.000000,1.472805
0.020000,14.137865,14.297755,11.146558,4.473023,-10.344458,0.000000,1.482530
0.020000,14.145174,14.384838,11.233949,4.266134,-10.344458,0.000000,1.491547
0.020000,14.151416,14.467857,11.317203,4.059244,-10.344458,0.000000,1.499903
0.020000,14.156714,14.546799,11.396319,3.852355,-10.344458,0.000000,1.507639
0.020000,14.161177,14.621640,11.471297,3.645466,-10.344458,-0.000000,1.514791
0.020000,14.164908,14.692382,11.542138,3.438577,-10.344458,0.000000,1.521394
0.020000,14.167999,14.759013,11.608840,3.231688,-10.344458,-0.000000,1.527479
0.020000,14.170533,14.821529,11.671405,3.024799,-10.344458,0.000000,1.533072
0.020000,14.172586,14.879919,11.729832,2.817909,-10.344458,0.000000,1.538198
0.020000,14.174228,14.934183,11.784121,2.611020,-10.344458,-0.000000,1.542878
0.020000,14.175521,14.984321,11.834273,2.404131,-10.344458,0.000000,1.547134
0.020000,14.176521,15.030319,11.880287,2.197242,-10.344458,-0.000000,1.550981
0.020000,14.177279,15.072190,11.922163,1.990353,-10.344458,0.000000,1.554436
0.020000,14.177838,15.109925,11.959901,1.783464,-10.344458,0.000000,1.557513
0.020000,14.178239,15.143521,11.993501,1.576574,-10.344458,-0.000000,1.560222
0.020000,14.178515,15.172981,12.022964,1.369685,-10.344458,0.000000,1.562576
0.020000,14.178698,15.198306,12.048289,1.162796,-10.344458,-0.000000,1.564583
0.020000,14.178812,15.219494,12.069476,0.955907,-10.344458,0.000000,1.566250
0.020000,14.178878,15.236630,12.086612,0.757744,-9.908131,21.816350,1.567591
