dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.617858,8.543735,0.000230,0.022988,1.149384,57.469213,0.000298
0.020000,5.617832,8.543735,0.000256,0.001293,-1.084759,-111.707147,0.000275
0.020000,5.617774,8.543735,0.000314,0.002904,0.080562,58.266056,0.000224
0.020000,5.617671,8.543735,0.000417,0.005147,0.112174,1.580561,0.000132
0.020000,5.617917,8.543735,0.000663,0.012334,0.359354,12.358997,6.283175
0.020000,5.625964,8.543734,0.008710,0.402325,19.499558,957.010213,6.282972
0.020000,5.636919,8.543730,0.019666,0.547780,7.272749,-611.340427,6.282698
0.020000,5.651234,8.543721,0.033981,0.715750,8.398488,56.286930,6.282345
0.020000,5.669361,8.543701,0.052107,0.906304,9.527713,56.461245,6.281906
0.020000,5.691528,8.543667,0.074274,1.108388,10.104175,28.823082,6.281381
0.020000,5.717745,8.543612,0.100492,1.310856,10.123410,0.961792,6.280778
0.020000,5.748022,8.543529,0.130768,1.513816,10.147994,1.229195,6.280105
0.020000,5.782367,8.543410,0.165114,1.717287,10.173572,1.278907,6.279371
0.020000,5.820795,8.543249,0.203541,1.921393,10.205268,1.584770,6.278588
0.020000,5.863317,8.543036,0.246064,2.126141,10.237424,1.607831,6.277767
0.020000,5.909949,8.542763,0.292697,2.331658,10.275847,1.921118,6.276921
0.020000,5.960707,8.542423,0.343457,2.537966,10.315408,1.978078,6.276065
0.020000,6.015609,8.542008,0.398360,2.745143,10.358826,2.170885,6.275214
0.020000,6.074672,8.541513,0.457425,2.953244,10.405053,2.311340,6.274385
0.020000,6.137915,8.540931,0.520671,3.162328,10.454188,2.456744,6.273595
0.020000,6.205362,8.540258,0.588121,3.372477,10.507444,2.662818,6.272862
0.020000,6.277032,8.539494,0.659795,3.583733,10.562793,2.767442,6.272208
0.020000,6.352951,8.538639,0.735719,3.796172,10.621976,2.959171,6.271652
0.020000,6.433142,8.537695,0.815916,4.009848,10.683797,3.091040,6.271216
0.020000,6.517633,8.536670,0.900413,4.224843,10.749728,3.296532,6.270925
0.020000,6.606450,8.535575,0.989237,4.441218,10.818777,3.452451,6.270802
0.020000,6.699624,8.534423,1.082418,4.659054,10.891790,3.650641,6.270874
0.020000,6.797186,8.533234,1.179987,4.878433,10.968951,3.858053,6.271168
0.020000,6.899168,8.532034,1.281976,5.099446,11.050668,4.085869,6.271713
0.020000,7.005605,8.530855,1.388419,5.322190,11.137172,4.325217,6.272540
0.020000,7.116535,8.529734,1.499355,5.546773,11.229165,4.599652,6.273681
0.020000,7.231997,8.528720,1.614821,5.773313,11.327000,4.891733,6.275172
0.020000,7.352033,8.527868,1.734860,6.001967,11.432693,5.284641,6.277050
0.020000,7.476688,8.527243,1.859518,6.232859,11.544588,5.594765,6.279355
0.020000,7.606012,8.526922,1.988841,6.466182,11.666175,6.079355,6.282129
0.020000,7.740054,8.526997,2.122884,6.702137,11.797748,6.578635,0.002235
0.020000,7.878872,8.527569,2.261703,6.940941,11.940210,7.123085,0.006093
0.020000,8.022524,8.528761,2.405360,7.182853,12.095609,7.769990,0.010575
0.020000,8.171075,8.530709,2.553924,7.428190,12.266835,8.561286,0.015739
0.020000,8.324594,8.533572,2.707469,7.677255,12.453242,9.320318,0.021654
0.020000,8.483153,8.537532,2.866078,7.930465,12.660482,10.362037,0.028392
0.020000,8.646834,8.542797,3.029843,8.188260,12.889786,11.465161,0.036036
0.020000,8.815720,8.549605,3.198867,8.451170,13.145502,12.785820,0.044675
0.020000,8.989901,8.558229,3.373261,8.719726,13.427761,14.112945,0.054411
0.020000,9.169473,8.568981,3.553154,8.994666,13.747006,15.962276,0.065356
0.020000,9.354534,8.582219,3.738688,9.276687,14.101075,17.703421,0.077638
0.020000,9.545187,8.598353,3.930023,9.566747,14.503012,20.096863,0.091399
0.020000,9.741536,8.617854,4.127338,9.865721,14.948664,22.282611,0.106797
0.020000,9.943680,8.641263,4.330833,10.174769,15.452415,25.187558,0.124012
0.020000,10.151715,8.669202,4.540735,10.495114,16.017243,28.241374,0.143243
0.020000,10.365459,8.702343,4.757034,10.814920,15.990292,-1.347555,0.164688
0.020000,10.584444,8.741390,4.979472,11.121937,15.350862,-31.971499,0.188527
0.020000,10.808146,8.787102,5.207797,11.416218,14.714075,-31.839364,0.214943
0.020000,11.035968,8.840288,5.441745,11.697390,14.058581,-32.774672,0.244111
0.020000,11.267219,8.901796,5.681036,11.964584,13.359688,-34.944633,0.276191
0.020000,11.501091,8.972493,5.925360,12.216179,12.579745,-38.997166,0.311317
0.020000,11.736630,9.053233,6.174353,12.449649,11.673498,-45.312374,0.349573
0.020000,11.972712,9.144820,6.427578,12.661268,10.580967,-54.626529,0.390982
0.020000,12.207932,9.247899,6.684392,12.840714,8.972309,-80.432889,0.435456
0.020000,12.440696,9.362913,6.944022,12.981493,7.038924,-96.669269,0.482795
0.020000,12.669350,9.490084,7.205661,13.081935,5.022112,-100.840613,0.532691
0.020000,12.892120,9.629301,7.468354,13.134648,2.635677,-119.321718,0.584703
0.020000,13.107197,9.780061,7.731007,13.132678,-0.098541,-136.710933,0.638267
0.020000,13.312837,9.941452,7.992417,13.070478,-3.110004,-150.573113,0.692720
0.020000,13.507476,10.112160,8.251310,12.944649,-6.291422,-159.070902,0.747339
0.020000,13.689834,10.290538,8.506404,12.754696,-9.497666,-160.312228,0.801391
0.020000,13.858993,10.474695,8.756461,12.502873,-12.591136,-154.673468,0.854185
0.020000,14.014505,10.662706,9.000453,12.199577,-15.164790,-128.682745,0.905137
0.020000,14.156467,10.852888,9.237777,11.866211,-16.668303,-75.175646,0.953836
0.020000,14.285352,11.043822,9.468140,11.518128,-17.404145,-36.792092,1.000024
0.020000,14.401822,11.234258,9.691369,11.161481,-17.832381,-21.411803,1.043546
0.020000,14.506667,11.423140,9.907399,10.801483,-17.999900,-8.375922,1.084344
0.020000,14.600745,11.609592,10.116240,10.442073,-17.970509,1.469521,1.122429
0.020000,14.684939,11.792913,10.317972,10.086556,-17.775806,9.735154,1.157869
0.020000,14.760122,11.972556,10.512712,9.737026,-17.476514,14.964620,1.190772
0.020000,14.827135,12.148100,10.700613,9.395036,-17.099521,18.849626,1.221272
0.020000,14.886769,12.319233,10.881838,9.061276,-16.687972,20.577489,1.249514
0.020000,14.939757,12.485724,11.056558,8.735984,-16.264596,21.168775,1.275651
0.020000,14.986772,12.647413,11.224943,8.419248,-15.836840,21.387814,1.299835
0.020000,15.028427,12.804189,11.387159,8.110796,-15.422586,20.712668,1.322213
0.020000,15.065278,12.955985,11.543364,7.810265,-15.026518,19.803413,1.342924
0.020000,15.097826,13.102758,11.693703,7.516926,-14.666974,17.977185,1.362098
0.020000,15.126522,13.244491,11.838311,7.230433,-14.324673,17.115047,1.379858
0.020000,15.151772,13.381186,11.977319,6.950386,-14.002335,16.116928,1.396316
0.020000,15.173940,13.512848,12.110834,6.675769,-13.730817,13.575902,1.411571
0.020000,15.193356,13.639505,12.238971,6.406829,-13.447024,14.189620,1.425720
0.020000,15.210313,13.761173,12.361815,6.142185,-13.232211,10.740692,1.438844
0.020000,15.225077,13.877882,12.479454,5.881942,-13.012153,11.002876,1.451021
0.020000,15.237887,13.989667,12.591970,5.625833,-12.805420,10.336679,1.462321
0.020000,15.248958,14.096556,12.699431,5.373031,-12.640094,8.266291,1.472805
0.020000,15.258485,14.198584,12.801903,5.123600,-12.471563,8.426516,1.482530
0.020000,15.266643,14.295776,12.899437,4.876682,-12.345890,6.283658,1.491547
0.020000,15.273590,14.388169,12.992090,4.632690,-12.199630,7.313033,1.499903
0.020000,15.279471,14.475794,13.079913,4.391110,-12.078986,6.032156,1.507639
0.020000,15.284413,14.558667,13.162933,4.151011,-12.004937,3.702462,1.514791
0.020000,15.288536,14.636827,13.241202,3.913438,-11.878690,6.312385,1.521394
0.020000,15.291943,14.710296,13.314750,3.677407,-11.801538,3.857600,1.527479
0.020000,15.294732,14.779099,13.383609,3.442950,-11.722855,3.934138,1.533072
0.020000,15.296989,14.843252,13.447801,3.209640,-11.665466,2.869436,1.538198
0.020000,15.298790,14.902779,13.507356,2.977722,-11.595893,3.478654,1.542878
0.020000,15.300206,14.957703,13.562298,2.747109,-11.530697,3.259795,1.547134
0.020000,15.301300,15.008028,13.612635,2.516829,-11.513994,0.835167,1.550981
0.020000,15.302128,15.053785,13.658400,2.288270,-11.427943,4.302550,1.554436
0.020000,15.302739,15.094981,13.699600,2.060012,-11.412915,0.751365,1.557513
0.020000,15.303176,15.131625,13.736247,1.832328,-11.384155,1.438035,1.560222
0.020000,15.303477,15.163734,13.768357,1.605494,-11.341721,2.121710,1.562576
0.020000,15.303676,15.191316,13.795940,1.379148,-11.317285,1.221754,1.564583
0.020000,15.303800,15.214380,13.819004,1.153231,-11.295860,1.071268,1.566250
0.020000,15.303873,15.233024,13.837648,0.932198,-11.051650,12.210491,1.567591
0.020000,15.303912,15.247600,13.852224,0.728796,-10.170081,44.078486,1.568635
0.020000,15.303931,15.258619,13.863243,0.550934,-8.893104,63.848812,1.569422
0.020000,15.303940,15.266567,13.871191,0.397419,-7.675747,60.867879,1.569988
0.020000,15.303943,15.271961,13.876585,0.269689,-6.386518,64.461422,1.570372
0.020000,15.303944,15.275296,13.879921,0.166782,-5.145340,62.058900,1.570608
0.020000,15.303944,15.277072,13.881697,0.088793,-3.899468,62.293632,1.570735
0.020000,15.303944,15.277788,13.882412,0.035776,-2.650853,62.430714,1.570785
0.020000,15.303944,15.277943,13.882567,0.007758,-1.400915,62.496935,1.570796
0.020000,15.303944,15.277943,13.882567,0.000000,-0.387878,50.651811,1.570796
